가맹점구분번호,가맹점명,업종,PC1 Score(x좌표),PC2 Score(y좌표),K-Means Cluster (경쟁 그룹),경쟁 그룹 수
18822DD6FB,정희*******,건강식품,-0.1074367000421225,-0.2112643898669231,Cluster 1,6
21752D89FB,영*,건강식품,-0.3187584712594874,-0.7721532496381064,Cluster 1,6
4FFDE025F1,정관******,건강식품,-4.215921379886072,-1.2963651982719897,Cluster 1,6
62A9B7888B,이롬********,건강식품,-0.979625865911153,2.2275532584477804,Cluster 1,6
CA4136E334,와이************,건강식품,-3.766323008409525,1.7644952005785426,Cluster 1,6
DA3D8B1FB0,브레*****,건강식품,-0.5345139743281998,-2.936008678821751,Cluster 1,6
14DA1400F7,비타***********,건강식품,0.619122301297183,0.8742021307440074,Cluster 2,6
18185E33A8,미스**,건강식품,2.009198968522513,0.3417032336105747,Cluster 2,6
1F0239CF1F,으뜸**,건강식품,1.748901384537257,0.0030667222415948,Cluster 2,6
3D35397FAB,호주*********,건강식품,1.5917119160051345,-0.2623993623379554,Cluster 2,6
4DAE33EA04,경희****,건강식품,2.2434479933802294,0.472361692511362,Cluster 2,6
B4A7FA3204,김정********,건강식품,1.7101968360942412,-0.2051913591971392,Cluster 2,6
260F71BF9B,올드**,기타세계요리,0.0106261226547482,3.4660351547280146,Cluster 1,6
2DD4A5D048,포케*******,기타세계요리,-1.8380311257146853,0.0393422194159619,Cluster 1,6
3AC0517B5B,미분*****,기타세계요리,-1.105318350193768,1.2401866281559764,Cluster 1,6
E811B2836B,도스***,기타세계요리,-0.1151137968894003,0.3904751419494768,Cluster 1,6
E8BDFFAD07,도스**,기타세계요리,-3.397373550577637,-1.786622295911683,Cluster 1,6
FC4D2DC52C,롤앤*,기타세계요리,-0.5373780175895914,-0.1732287308706821,Cluster 1,6
153D5AC634,포케*******,기타세계요리,2.079851523436516,-0.3451032548195328,Cluster 2,6
4C8A0648B0,갓잇**************,기타세계요리,2.066114635541334,-1.3566936749741836,Cluster 2,6
5.64E+12,레몬***********,기타세계요리,0.1171377331922791,-0.5475241069629105,Cluster 2,6
CA60093BA7,달콤***********,기타세계요리,1.1873627513678873,-0.5684604741968033,Cluster 2,6
E8869D79C1,미분*,기타세계요리,0.3704983274734111,0.0447394081188181,Cluster 2,6
EFE2BD2AEE,갓잇*********,기타세계요리,1.1616237472989095,-0.4031460146324529,Cluster 2,6
2FC5FFC0AA,라무***********,꼬치구이,0.0424414023506629,1.1930925327082402,Cluster 1,8
43376C6456,이가****,꼬치구이,-0.6391175648446746,1.2584433889252085,Cluster 1,8
9350A78BD7,동방***,꼬치구이,-3.9646382407917424,-1.125020961069216,Cluster 1,8
EE79357E42,미미**********,꼬치구이,-2.666186653794876,0.1234595871324873,Cluster 1,8
F1B5E625FC,투다****,꼬치구이,0.9951188158249384,2.150966083350852,Cluster 1,8
F1F48E332E,한양****,꼬치구이,-1.771176869420806,0.8321006241693847,Cluster 1,8
FB709A768C,남매***,꼬치구이,1.5871690900612332,1.5777403831438856,Cluster 1,8
FFF0DAC445,투다*,꼬치구이,-0.0465104711531716,0.734926147416501,Cluster 1,8
07E06697D9,류가***,꼬치구이,1.157886688108973,0.0411912951793486,Cluster 2,6
39A0648E6F,주향****,꼬치구이,1.4278467734814215,-2.771931537524142,Cluster 2,6
6B3F9F91EA,빵양**,꼬치구이,0.9328365375260566,-0.3263384311517273,Cluster 2,6
9FFE31B3A0,길상*******,꼬치구이,1.4689885207710096,-0.2347653482744366,Cluster 2,6
DE5FF7193C,용답****,꼬치구이,1.6893111602278976,-1.415261961331961,Cluster 2,6
F79C44E620,양복*,꼬치구이,-0.2139691883469269,-2.0386018026744246,Cluster 2,6
0AE494A908,소마*****,농산물,0.5728930915602156,0.8503794247577406,Cluster 1,27
0C5EE2823A,옥수****,농산물,1.3495769297966,-0.233417332911836,Cluster 1,27
0CF1A5859F,데일***,농산물,1.618435887120766,-0.2130409100657933,Cluster 1,27
4B06EC5432,싱싱****,농산물,1.3798761510137405,-0.6070480874031668,Cluster 1,27
5509AAD8EE,왕*,농산물,2.2221219198322903,-0.309355680620729,Cluster 1,27
554B8B39CF,경원**,농산물,0.5512199170370612,-0.2445654146004172,Cluster 1,27
56DDDE972B,오늘**,농산물,1.064372728787888,-0.3627420294743445,Cluster 1,27
5B33B06965,진성**,농산물,0.3393524157454762,-0.3645828780146468,Cluster 1,27
685929E817,블랙*************,농산물,0.9939583055160424,0.4370602300208022,Cluster 1,27
6D3DAB1193,한아*,농산물,1.095889150753938,0.3232168385082849,Cluster 1,27
6F49465F62,옛날****,농산물,1.3236888698181024,-0.248191531572444,Cluster 1,27
7EAC320AA6,송희****,농산물,2.3537983233187125,-0.4490146069879219,Cluster 1,27
86D0C43DB4,농심**,농산물,2.215144322579771,-0.3003355419502795,Cluster 1,27
9C5E0BDC5F,봉앗*,농산물,0.2145549472714057,-0.4199027768046871,Cluster 1,27
9D72F83B30,바다*********,농산물,2.0988086331365654,0.0510006354952834,Cluster 1,27
9F05CCB29C,형제**,농산물,0.9628867811658688,0.1170776768088914,Cluster 1,27
B5985767EC,용답**,농산물,0.2949622701032682,0.6167614674244892,Cluster 1,27
BFA619CF5E,시대**,농산물,2.0155658311299454,-1.5544765149025082,Cluster 1,27
C42A4207F3,충북**,농산물,0.620253221851519,-0.2988512596630691,Cluster 1,27
C46428C39E,하늘****,농산물,1.7005027388517742,-1.032938671706929,Cluster 1,27
C980A72248,숭아**,농산물,0.7978632038831733,-0.1875312529717356,Cluster 1,27
D0ACBE7CA2,재래**,농산물,1.93526791016713,-0.9404531686052549,Cluster 1,27
D140A43C4D,금성**,농산물,1.4912598229504272,0.1434769745325027,Cluster 1,27
E145D9B3BC,주아**,농산물,0.6765214415383135,1.136938160851224,Cluster 1,27
E852479CD1,장어**,농산물,1.092716343845059,-0.5233927836216997,Cluster 1,27
EED0404EC2,자연*****,농산물,1.0736082889631806,-0.4654223394819716,Cluster 1,27
EF414AEF31,봉주**,농산물,1.0973697604970925,0.1303730718406849,Cluster 1,27
0F0676C7F0,이레**,농산물,-1.6272022789581586,-0.0176642809057418,Cluster 2,25
178A3B9A58,달꽃*,농산물,-0.3139701909463021,0.3820985790583462,Cluster 2,25
1CB111F32B,서울**,농산물,-1.906718290773832,-2.19749578324552,Cluster 2,25
348CC434D7,뚝섬****,농산물,-0.6449263783670527,0.4127157205419393,Cluster 2,25
394824E6A3,만복****,농산물,-0.2163968366838232,-0.2346345330552653,Cluster 2,25
40FF885FCA,잇프*************,농산물,-0.8512879219207906,-1.05561062676809,Cluster 2,25
50FB1F6C45,정광**,농산물,-0.1596899068469425,-0.1658228363975896,Cluster 2,25
5424DBE00D,DS*******,농산물,-2.116720947843297,0.9851929838045168,Cluster 2,25
56571ACABD,쌍용********,농산물,-1.3578437347897443,-1.441469624256181,Cluster 2,25
57E5E99129,우리***,농산물,-0.7691578799472025,-1.3174920701080766,Cluster 2,25
7D693A219F,꽃자*,농산물,-3.680688337809515,0.5050735810592382,Cluster 2,25
