상권,상권_전체점포수,상권_평균운영개월구간,상권_전체해지비중,상권_평균_남성 20대이하 고객 비중,상권_평균_남성 30대 고객 비중,상권_평균_남성 40대 고객 비중,상권_평균_남성 50대 고객 비중,상권_평균_남성 60대이상 고객 비중,상권_평균_여성 20대이하 고객 비중,상권_평균_여성 30대 고객 비중,상권_평균_여성 40대 고객 비중,상권_평균_여성 50대 고객 비중,상권_평균_여성 60대이상 고객 비중,상권_평균_재방문 고객 비중,상권_평균_신규 고객 비중,상권_평균_거주 이용 고객 비율,상권_평균_직장 이용 고객 비율,상권_평균_유동인구 이용 고객 비율,상권_평균_배달매출비율,상권_업종다양성,상권_고객다양성,상권_개업률,상권_폐업률,상권_churn비율,상권_매출증감률
건대입구,24,4.0,11.291666666666666,17.10374583333333,21.037891666666667,9.789770833333334,4.484479166666667,1.5721208333333332,14.5920875,17.932941666666668,8.3310625,3.840520833333333,1.3320458333333334,32.306666666666665,7.3825,7.720833333333334,36.45,55.8375,39.78333333333333,0.0,2.194130067938125,0.0,0.0,0.0,-0.0579709976895659
금남시장,6683,3.405656142450995,8.529329819277109,5.486775166970249,11.640856420765028,11.903632680631452,13.143111824529448,11.847833044930177,4.667704159077109,10.07977495446266,9.969154508196722,10.517928202792955,10.745915755919851,26.672607250755288,9.016279456193352,59.6737459807074,5.143263665594855,35.18477491961415,42.33476088508208,3.442084452123675,2.3927433936701985,0.0,0.0236420769115666,23642.076911566663,0.0183653844762889
답십리,3753,3.4231281641353584,8.220539188438021,10.180671855642338,11.732786075949369,10.95541764072179,15.613162240775653,12.181039940748722,7.399135577699971,7.79595752760571,7.029207325612712,9.587002720172368,7.526911850255858,27.7871455424275,10.124634801288936,34.73704112613856,12.81774772288159,52.44717085288436,25.25689910979229,3.1189178882682564,2.393825470930084,0.0,0.0247801758593125,24780.175859312552,0.0204275034340676
동대문역사문화공원역,24,4.375,7.370833333333334,19.65884583333333,19.349320833333334,10.519845833333331,13.2234,2.9515958333333336,11.053654166666666,9.117345833333331,6.071820833333334,6.147433333333333,1.9067375,15.027500000000002,14.26,3.4521739130434783,3.3000000000000003,93.25217391304348,61.5,0.0,2.335518287418602,0.0,0.0,0.0,-0.0196078392925804
뚝섬,11215,3.827284886312974,8.07383167459974,13.39054560847519,16.074288600144875,8.578814134371605,7.446799022093444,4.707077888446215,15.862161743933356,15.859422011952192,7.55052306229627,6.5153976457805145,4.015721821803695,22.901379591098245,11.3072218201556,22.25681560015146,20.515628549791742,57.22854979174555,17.15145259938838,3.24686306856991,2.36655792949082,0.0,0.0303165403477485,30316.540347748552,0.0210411632037011
마장동,8129,2.993357116496494,5.772138342696629,4.3447800266844565,10.834132701801202,10.193344856571048,14.521859733155436,19.656897998665777,2.798915770513676,6.067861961307538,6.237929326217478,9.5272663509006,15.81886584389593,25.96543615344193,8.74261429322123,23.16759367194005,8.006994171523731,68.82776019983348,24.051143451143453,1.7593602185777784,2.325881082832474,0.0,0.0186984868987575,18698.486898757536,-0.0237319761386706
미아사거리,11,5.636363636363637,12.636363636363637,0.0,5.627475,0.0,33.035025,0.0,0.0,26.447525,0.0,34.889975,0.0,0.0,28.5425,0.0,0.0,100.0,96.85,0.0,1.499565165222791,0.0,0.0,0.0,0.0243902397382518
방배역,24,4.916666666666667,9.416666666666666,8.635675,7.914025,3.3947875,2.723104166666667,0.8124458333333333,27.589325,25.977641666666667,11.2052125,8.989395833333333,2.7625541666666664,23.350416666666664,8.245833333333334,1.383333333333333,1.6083333333333334,97.00833333333333,70.00416666666666,0.0,2.1561686368057003,0.0,0.0,0.0,0.0396039525536728
서면역,452,4.165929203539823,11.383333333333333,15.462451473922902,18.76562086167801,7.248131519274376,5.01956462585034,3.1958512471655327,18.983807029478456,19.45932244897959,5.960485260770975,3.8276009070294794,2.075350566893424,18.78832199546485,11.992063492063492,8.769156626506023,13.329638554216867,77.89951807228915,29.22992700729927,2.40835250433778,2.278515686559341,0.0,0.0176991150442477,17699.11504424779,0.0126824560098101
성수,18823,3.5553843701854118,8.303197784212514,12.882793353899444,15.57594982951778,9.456735795854303,9.352424365427288,7.7352448070574225,13.901871299453374,13.569208340098502,6.932049391134925,6.098912496617416,4.495113400443795,23.46942487186404,10.05542918802266,23.29359804589866,19.311781413315156,57.39668257214269,19.607240388070423,3.291176790518844,2.391938552044885,0.0,0.0288476863411783,28847.68634117835,0.00513375948926
